year,sale_date,price,description_of_property,property_size_description,formatted_address,latitude,longitude,geo_county
2014,27/06/2014,650000,Second-Hand,,"48 Rathmines Rd Upper, Dublin 6, D06 A4P9, Ireland",53.3202934,-6.2648005,Dublin City
2016,09/09/2016,296000,Second-Hand,,"Habitat, Airlie Heights, Doddsborough, Lucan, Co. Dublin, Ireland",53.3494119,-6.467622,South Dublin
2012,14/12/2012,410000,Second-Hand,,"Harbour Rd, DÃƒÂºn Laoghaire, Dublin, Ireland",53.2959736,-6.137019,DLR
2014,28/11/2014,380000,Second-Hand,,"25 S Lotts Rd, Dublin 4, D04 RX40, Ireland",53.3383131,-6.2328611,Dublin City
2013,30/10/2013,142000,Second-Hand,,"Brooklawn, Strandville Ave E, Clontarf West, Dublin 3, Ireland",53.365013,-6.2195052,Dublin City
2013,18/07/2013,73700,Second-Hand,,"Clondalkin, Co. Dublin, Ireland",53.3239701,-6.4055335,South Dublin
2013,24/10/2013,74866,Second-Hand,,"22E Rathvilly Dr, Finglas South, Dublin 11, D11 Y202, Ireland",53.3814369,-6.313836,Dublin City
2017,27/01/2017,275000,Second-Hand,,"The Ward, Co. Dublin, Ireland",53.43335,-6.32749,Fingal
2016,23/06/2016,840000,Second-Hand,,"36 Hillcourt Park, Dublin, Ireland",53.2757333,-6.1306373,DLR
2014,09/07/2014,197885,Second-Hand,,"Apartment 1, Oxmantown Green, Blackhall Pl, Smithfield, Dublin 7, Ireland",53.3483658,-6.2815972,Dublin City
2014,11/11/2014,110000,Second-Hand,,"84 Dromheath Ave, Buzzardstown, Dublin 15, D15 XW0H, Ireland",53.4057479,-6.3882381,Fingal
2014,03/07/2014,460000,Second-Hand,,"34 Orwell Gardens, Newtown Little, Dublin 14, D14 FX66, Ireland",53.3057062,-6.2631045,DLR
2014,17/07/2014,536000,Second-Hand,,"19 Templeogue Lodge, Templeogue, Dublin 6W, Co. Dublin, D6W TN59, Ireland",53.2972889,-6.3166895,South Dublin
2014,11/12/2014,79211,Second-Hand,greater than or equal to 38 sq metres and less than 125 sq metres,"8 Main St, Kilmore, Dublin, Ireland",53.3882772,-6.2009533,Dublin City
2012,21/02/2012,100000,Second-Hand,,"11 Corrig Park, DÃƒÂºn Laoghaire, Dublin, A96 XY28, Ireland",53.2881204,-6.1363357,DLR
2016,14/11/2016,163000,Second-Hand,,"Apartment 14, James Plunkett House, Grattan Cres, Inchicore, Dublin 8, Ireland",53.3399783,-6.3204007,Dublin City
2012,16/11/2012,190000,Second-Hand,,"14 Rathfarnham Mill, Rathfarnham, Dublin 14, D14 K2W4, Ireland",53.2990275,-6.2881262,South Dublin
