year,sale_date,price,description_of_property,property_size_description,formatted_address,latitude,longitude,geo_county
2017,09/03/2017,310000,New,,"5 Limelawn Hill, Clonsilla, Dublin 15, D15 T0H6, Ireland",53.3837574,-6.4055518,Fingal
2014,11/07/2014,312000,New,,"46 Windermere, Clonsilla, Dublin 15, D15 R85D, Ireland",53.3879798,-6.4289161,Fingal
2013,19/06/2013,259250,New,,"18 Claremont Dr, Ballygall, Dublin 11, D11 FV52, Ireland",53.3836118,-6.2786097,Dublin City
2013,20/12/2013,8000,New,greater than or equal to 38 sq metres and less than 125 sq metres,"Cloonlara Square, Phoenix Park Ave, Phoenix Park Racecourse, Dublin 15, Ireland",53.3733658,-6.3375763,Fingal
2012,05/03/2012,220264,New,greater than or equal to 38 sq metres and less than 125 sq metres,"14 The Blvd Cruise Park, Tyrrelstown, Dublin, Ireland",53.4197546,-6.3917434,Fingal
2016,20/02/2016,287500,New,,"54 Talbot St, Mountjoy, Dublin 1, D01 W6E5, Ireland",53.3512061,-6.250644,Dublin City
2015,10/04/2015,172268,New,,"38, 7 S Circular Rd, Wood Quay, Dublin, Ireland",53.3324353,-6.2688332,Dublin City
2013,15/11/2013,650000,New,,"66 The Stiles Rd, Clontarf East, Dublin 3, D03 X2C9, Ireland",53.3663663,-6.2107836,Dublin City
2016,14/07/2016,150000,New,,"5 Hampton Cove, Kilsough North, Balbriggan, Co. Dublin, K32 D379, Ireland",53.6035618,-6.1670134,Fingal
2015,14/08/2015,221000,New,,"31 Merchant's Square, East Wall, Dublin 3, D03 V6R0, Ireland",53.3515304,-6.2296271,Dublin City
2015,15/01/2015,215000,New,,"4 Fforster Dr, Ballydowd Manor, Lucan, Co. Dublin, K78 A3H2, Ireland",53.3501705,-6.4265965,South Dublin
2014,22/12/2014,247319,New,,"16 Boroimhe Ash, Fosterstown North, Swords, Co. Dublin, K67 DA25, Ireland",53.4454704,-6.2371594,Fingal
2015,27/02/2015,185000,New,,"8 St Joseph's Ave, Drumcondra, Dublin 9, D09 V2F1, Ireland",53.363703,-6.2597643,Dublin City
2015,16/04/2015,230000,New,,"148 Grianan Fidh, Sandyford, Dublin, Ireland",53.262658,-6.2188828,DLR
2014,22/12/2014,82440,New,,"Thornfield Square, Watery Ln, Clondalkin, Dublin 22, Ireland",53.3243492,-6.393099,South Dublin
2012,28/02/2012,90000,New,,"14, 52 Mountjoy Square S, Mountjoy, Dublin 1, D01 NN76, Ireland",53.3555635,-6.2576361,Dublin City
2012,16/04/2012,50000,New,,"11 St David's, Beaumont, Dublin 5, D05 R5C9, Ireland",53.3811105,-6.2188033,Dublin City
2014,25/06/2014,246255,New,,"Templeogue Rd, Bushy Park House, Templeogue, Dublin 6W, Co. Dublin, Ireland",53.30517,-6.29182,Dublin City
2016,20/10/2016,285000,New,greater than or equal to 38 sq metres and less than 125 sq metres,"9 Castlegrange Gardens, Castaheany, Dublin, Ireland",53.3988451,-6.4302391,Fingal
2016,28/10/2016,215000,New,,"Apartment 12, Woodleigh Oak, Highfield Rd, Dublin 6, Ireland",53.3134163,-6.2643989,Dublin City
2015,27/04/2015,236159,New,greater than or equal to 38 sq metres and less than 125 sq metres,"Apartment 206, Timeplace, Corrig Rd, Sandyford Industrial Estate, Dublin 18, Ireland",53.2766933,-6.2150565,DLR
2014,25/06/2014,201661,New,,"Templeogue Rd, Bushy Park House, Templeogue, Dublin 6W, Co. Dublin, Ireland",53.30517,-6.29182,Dublin City
2016,01/04/2016,295000,New,,"Slade Rd, Saggart, Co. Dublin, Ireland",53.27784,-6.4486989,South Dublin
2014,07/10/2014,230326,New,greater than or equal to 38 sq metres and less than 125 sq metres,"Sandyford, Dublin, Ireland",53.2719967,-6.2207197,DLR
2013,23/08/2013,193000,New,,"205 Clon Brugh, Sandyford, Dublin, Ireland",53.2632872,-6.2268442,DLR
2016,20/05/2016,197000,New,,"The Red Mill Apartments, Brunswick St N, Smithfield, Dublin 7, Ireland",53.350279,-6.2781383,Dublin City
2012,22/10/2012,522000,New,,"212 Grange Rd, Rathfarnham, Dublin 16, D16 Y684, Ireland",53.2823802,-6.2784679,South Dublin
2012,09/11/2012,185000,New,,"45 Ardlea Rd, Beaumont, Dublin 5, D05 K2T5, Ireland",53.3850717,-6.2074848,Dublin City
2016,07/10/2016,185000,New,,"21 Maxwell St, Merchants Quay, Dublin 8, D08 R2H7, Ireland",53.336699,-6.2862569,Dublin City
2015,27/08/2015,220500,New,,"8 Oakview Grove, Huntstown, Dublin 15, D15 K0Y3, Ireland",53.3928151,-6.4168715,Fingal
2013,10/05/2013,585000,New,,"25 Lynwood, Dundrum, Dublin 16, Ireland",53.2840107,-6.2436377,DLR
2015,24/07/2015,210000,New,,"The Quarry, Carrickhill Rd Upper, Carrickhill, Portmarnock, Co. Dublin, Ireland",53.4320551,-6.1337584,Fingal
2016,07/04/2016,460000,New,,"22, Harbour Court, George's Pl, DÃƒÂºn Laoghaire, Dublin, Ireland",53.2951756,-6.141188,DLR
2013,28/08/2013,711500,New,,"4 The Moorings, Malahide, Co. Dublin, K36 XT82, Ireland",53.4499125,-6.1441944,Fingal
2013,26/03/2013,115000,New,,"Hayden House, Main St, Rathcoole, Co. Dublin, Ireland",53.2817915,-6.4665722,South Dublin
