year,postal_code,price,property_size_description,formatted_address,latitude,longitude,geo_county
2012,,151375,less than 38 sq metres,"Booterstown Wood, Booterstown Ave, Merrion, Blackrock, Co. Dublin, Ireland",53.2992523,-6.204387,Dn Laoghaire-Rathdown
2012,,164950,greater than or equal to 38 sq metres and less than 125 sq metres,"Hansfield, Dublin, Ireland",53.3936042,-6.4445423,Fingal
2012,,495899.46,greater than 125 sq metres,"14 Claremont Ave, Honeypark, Dublin, Ireland",53.2827019,-6.1466374,Dn Laoghaire-Rathdown
2012,,183260,greater than or equal to 38 sq metres and less than 125 sq metres,"Crosforge, Saggart, Co. Dublin, Ireland",53.280353,-6.4478643,South Dublin
2012,,139162.99,greater than 125 sq metres,"14 Heathfield Ave, Heathfield View, Kildonan, Baile Átha Cliath 11, D11 N2H6, Ireland",53.395175,-6.3253253,Fingal
2012,,255000,greater than or equal to 38 sq metres and less than 125 sq metres,"Rathcoole, Co. Dublin, Ireland",53.2817307,-6.466167,South Dublin
2012,,281937,greater than or equal to 38 sq metres and less than 125 sq metres,"Rathcoole, Co. Dublin, Ireland",53.2817307,-6.466167,South Dublin
2012,,275000,greater than or equal to 38 sq metres and less than 125 sq metres,"14 Red Arches Ave, The Coast, Dublin 13, D13 H672, Ireland",53.4015438,-6.1419224,Fingal
2012,,129500,greater than or equal to 38 sq metres and less than 125 sq metres,"14 Slade Castle Wood, Moneyatta Commons, Saggart, Co. Dublin, D24 WN34, Ireland",53.2786206,-6.4469854,South Dublin
2012,,111000,greater than 125 sq metres,"14 Stocking Well Row, Stocking Well Wood, Rathfarnham, Dublin 16, D16 K851, Ireland",53.2732263,-6.3199545,South Dublin
2012,,159125,greater than or equal to 38 sq metres and less than 125 sq metres,"Kensington Lodge, Rochestown Ave, Dún Laoghaire, Dublin, Ireland",53.2780899,-6.1535517,Dn Laoghaire-Rathdown
2012,,210000,greater than or equal to 38 sq metres and less than 125 sq metres,"Apartment 15, Weavers Hall, Levmoss Park, The Gallops, Dublin 18, Ireland",53.263942,-6.1984187,Dn Laoghaire-Rathdown
2012,Dublin 15,109251,less than 38 sq metres,"14 Barnwell Pl, Hansfield, Dublin 15, D15 HDH7, Ireland",53.3927952,-6.4437301,Fingal
2012,,3.00E+05,greater than 125 sq metres,"143 Carr's Mill, Beaverstown Road, Rahillion, Donabate, Co. Dublin, K36 AX99, Ireland",53.4934468,-6.1373539,Fingal
2012,,136600,less than 38 sq metres,"The Gallery, Turvey Walk, Ballalease West, Donabate, Co. Dublin, Ireland",53.4876936,-6.1527157,Fingal
2012,Dublin 11,202643.17,greater than or equal to 38 sq metres and less than 125 sq metres,"149 Hampton Wood Ave, Hampton Wood, Dublin 11, Ireland",53.4052756,-6.2850297,Dublin City
2012,,240000,greater than 125 sq metres,"Beverton Wood, Beaverstown, Donabate, Co. Dublin, Ireland",53.4908849,-6.159376,Fingal
2012,,205000,greater than or equal to 38 sq metres and less than 125 sq metres,"Crosforge, Saggart, Co. Dublin, Ireland",53.280353,-6.4478643,South Dublin
2012,,148000,less than 38 sq metres,"15 Latchford Pl, Castaheany, Clonee, Co. Dublin, D15 RKC9, Ireland",53.3991902,-6.4327933,Fingal
2012,,281938.32,greater than or equal to 38 sq metres and less than 125 sq metres,"Rathcoole, Co. Dublin, Ireland",53.2817307,-6.466167,South Dublin
2012,,281938.32,greater than or equal to 38 sq metres and less than 125 sq metres,"15 The Walk, Robswalls, Malahide, Co. Dublin, K36 K858, Ireland",53.444808,-6.1364141,Fingal
2012,,154185,greater than or equal to 38 sq metres and less than 125 sq metres,"151 Adamstown Ave, Finnstown, Lucan, Co. Dublin, Ireland",53.3374515,-6.4634538,South Dublin
2012,,160025,less than 38 sq metres,"Crosbie's Yard, 64 Ossory Rd, East Wall, Dublin, Ireland",53.3554387,-6.2411408,Dublin City
2012,,230000,greater than or equal to 38 sq metres and less than 125 sq metres,"151 Richmond Rd, Drumcondra, Dublin, Ireland",53.3658636,-6.247939,Dublin City
2012,,132158.6,greater than 125 sq metres,"151 Hampton Wood Ave, Hampton Wood, Dublin 11, D11 KX20, Ireland",53.4052645,-6.2846081,Dublin City
2012,Dublin 9,220000,greater than or equal to 38 sq metres and less than 125 sq metres,"151 Richmond Rd, Drumcondra, Dublin, Ireland",53.3658636,-6.247939,Dublin City
2012,Dublin 3,81498,greater than or equal to 38 sq metres and less than 125 sq metres,"Crosbie's Yard, 64 Ossory Rd, East Wall, Dublin, Ireland",53.3554387,-6.2411408,Dublin City
2012,Dublin 18,83700.44,greater than or equal to 38 sq metres and less than 125 sq metres,"155 Rockview, Sandyford, Dublin, Ireland",53.2697016,-6.2409168,Dn Laoghaire-Rathdown
2012,Dublin 18,83700.44,greater than or equal to 38 sq metres and less than 125 sq metres,"156 Rockview, Sandyford, Dublin, Ireland",53.2697016,-6.2409168,Dn Laoghaire-Rathdown
2012,Dublin 18,92511.01,greater than or equal to 38 sq metres and less than 125 sq metres,"158 Rockview, Sandyford, Dublin, Ireland",53.2697016,-6.2409168,Dn Laoghaire-Rathdown
2012,Dublin 16,233225,greater than or equal to 38 sq metres and less than 125 sq metres,"Wyckham Point, Wyckham Way, Balally, Dublin 16, D16 P640, Ireland",53.2804439,-6.2433444,Dn Laoghaire-Rathdown
